segment_id,category,label,location,kind,duration,wk_z_rms,wd_xy_rms,iso_total,oct_1.00Hz,oct_1.25Hz,oct_1.60Hz,oct_2.00Hz,oct_2.50Hz,oct_3.15Hz,oct_4.00Hz,oct_5.00Hz,oct_6.30Hz,oct_8.00Hz,oct_10.00Hz,oct_12.50Hz,oct_16.00Hz,oct_20.00Hz,oct_25.00Hz,oct_31.50Hz,oct_40.00Hz,oct_50.00Hz
clean_bgnd_012,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,22.721,0.007332019829392055,0.007011572239515251,0.012252196517673168,0.0009159972297174947,0.0008485790790736424,0.0011015196606332627,0.0017125963983053276,0.0014201866200946182,0.0018447676184211162,0.002290420337276618,0.0021003198950995815,0.0027244885425936867,0.0029000181873134914,0.002910776163865379,0.00412452250771157,0.0038741863827566098,0.004736592270287085,0.005136886742264866,0.006193178950616287,0.0069141618442260635,
clean_bgnd_013,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,24.284,0.0076756930313731314,0.007311931571291122,0.012794779262895784,0.0010704850407639895,0.001162116179600479,0.001043422276257245,0.0017087174342939237,0.001849191639080958,0.0015727953107243708,0.002143516615976616,0.0020212379074959885,0.0029842788813469042,0.0031324298747445307,0.003184202477864091,0.0034979772094223243,0.004293060807243938,0.004587970700765989,0.005309607480339433,0.00614772722199224,0.007468477319950453,
clean_bgnd_014,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,55.562,0.008833969349907163,0.007145716920966772,0.013346126939741628,0.001356463226954113,0.0013685525236689536,0.001588736629742374,0.0017307290516864514,0.00191339230583335,0.0021352289591310782,0.002300007361291505,0.0025028052204805204,0.0031392865242660913,0.0031888516705667037,0.0035617307470369435,0.0038695251579615847,0.004872967930922771,0.005142230907454637,0.005185976162715549,0.0060767159785692125,0.006842729882103669,
train_pass_015,train_pass_service_desk,过车,服务台,train_pass,11.467,0.008044482627485099,0.011361534054750601,0.01782468049237726,0.0014693955601250137,0.00306646881788865,0.004697684316821501,0.0036398613352705495,0.0035987452810223664,0.0047768132635982044,0.0026935939113680732,0.0033639715628898813,0.0030856951359546077,0.0034129316671252367,0.004410596804174489,0.004413349656715451,0.005079574818748612,0.005626010877737873,0.005770795437622007,0.010708316375332297,0.009625542050306121,
clean_bgnd_016,clean_bgnd_service_desk,干净本底,服务台,clean_bgnd,16.06,0.00670115551378334,0.0072809265004496315,0.012198720875633244,0.0010739031026121705,0.0011155524139725818,0.0012646627921273847,0.0009513007192771936,0.0013103575046795415,0.0014349426552138175,0.0019373025085852673,0.0026552761221015756,0.0024342144507721298,0.0023660193966054404,0.003051930495293001,0.003382550335071994,0.004193831843285097,0.004289992853975831,0.0050961652437698035,0.005539111882797238,0.006688521039426839,
train_pass_017,train_pass_service_desk,过车,服务台,train_pass,7.07,0.01185954491696738,0.009045500394237719,0.01734987369713653,0.001460277401560728,0.0016603405267054238,0.002639711094385006,0.0014974479260935585,0.002780161484654273,0.004630322639752074,0.003917929926080703,0.003660448325070125,0.00499716470538625,0.004593575045282404,0.005820421045504354,0.005911079447086943,0.0061283597744553175,0.006198480819308689,0.006430244180409562,0.00847113989655426,0.008330160587813834,
train_pass_018,train_pass_service_desk,过车,服务台,train_pass,8.03,0.008867948087280145,0.00944420265749593,0.015920386691188372,0.0004677245073350319,0.001739873567270808,0.0013241377768687368,0.0019168010639421117,0.002048728624315212,0.0031459693787010447,0.002067382905075166,0.0024200089702484623,0.0031645722331410005,0.003110074984561373,0.004552661007810587,0.0046436160878698335,0.003955250834745908,0.0062259807767307525,0.007187715588535201,0.007338788995169751,0.009167003469267698,
clean_bgnd_019,clean_bgnd_ground_floor,干净本底,地面(正后方),clean_bgnd,30.102,0.0068566334887435855,0.0071714605926728285,0.012157957187874461,0.0009791590062192387,0.001260805271539977,0.0013432776114307625,0.0012474153523521596,0.0017022104320361356,0.0016740635694745174,0.0016287157793681607,0.001718867598101319,0.0022750805802350003,0.0026988180352302193,0.0028558884257838674,0.003271797498545157,0.004098464554155675,0.004317259622624885,0.0052325888508262496,0.005707497734267787,0.006855221946593778,
clean_bgnd_020,clean_bgnd_ground_floor,干净本底,地面(正后方),clean_bgnd,11.594,0.007150019684909777,0.0071087602641826874,0.012254401151508701,0.0010911931910135403,0.001133839053763438,0.0011300347877698088,0.0013228233462581399,0.0013131377318515178,0.0016699545544680472,0.0018163747831078474,0.002244938221750639,0.002850008603683766,0.003017283575233335,0.003701912314740974,0.003419815701671237,0.004113638882661129,0.004977815061849644,0.0051992164728270176,0.006393356436007002,0.00776186928941726,
clean_bgnd_021,clean_bgnd_ground_floor,干净本底,地面(正后方),clean_bgnd,25.348,0.006889129541347485,0.007055992214661888,0.012043366516836984,0.0012408794565804018,0.0010018542903870867,0.0011184334408679034,0.0015580188187087447,0.0016471702629860675,0.0017069883090001193,0.0015400759044379801,0.0020600244556381268,0.00254672775882447,0.002686620785095159,0.0031778702941808955,0.0037292507185276566,0.0040127795841564265,0.004811593659993087,0.00532307729230152,0.006301261379182363,0.007301134863433343,
