tag,type,label,location,location_desc,audio,xls,abs_start,abs_end,duration,vib_start_sec,vib_end_sec,rms_centered,rms_raw,peak,peak_centered,dom_freq,peak_mean_ratio,pwr_0_5hz,pwr_5_15hz,pwr_15_30hz,pwr_30_50hz,rms_x,rms_y,rms_z,npz_path
clean_bgnd_013,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (6).xls,20:24:15,20:24:39,24.284,58.942,83.226,0.016012820880469715,0.03700225296621923,0.12947437894610594,0.09611637702713496,34.1790625,1.8169962763134937,2.2308399327682287e-05,4.645317750166728e-05,7.004706266803579e-05,0.00011398500451574355,0.01119820649449883,0.010444143091299993,0.02052404789009874,D:\projects\vib\analysis\events\clean_clean_bgnd_013.npz
clean_bgnd_014,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (6).xls,20:25:22,20:26:17,55.562,126.023,181.584,0.016578789872835394,0.03729583725945538,0.1503125144598008,0.11690408433750754,49.3266015625,1.5044380300740618,2.7642014522643024e-05,5.25790511569574e-05,7.699699425970349e-05,0.00010360162201521019,0.011348241225724238,0.010441690225298424,0.021760380515469475,D:\projects\vib\analysis\events\clean_clean_bgnd_014.npz
train_pass_015,train_pass,过车,service_desk,服务台,2026年04月06日 19点59分.m4a,g (6).xls,20:26:27,20:26:38,11.467,190.767,202.234,0.026843199637227956,0.054221245927528736,0.19491977375867417,0.14780941244431492,34.1790625,7.937195264586828,0.00016148761252862497,7.381896491733305e-05,9.83529498040565e-05,0.0002671854763206406,0.0356228458329688,0.01976224090427984,0.025419641198417418,D:\projects\vib\analysis\events\clean_train_pass_015.npz
clean_bgnd_016,clean_bgnd,干净本底,service_desk,服务台,2026年04月06日 19点59分.m4a,g (7).xls,20:28:06,20:28:22,16.06,77.072,93.132,0.014690084276128383,0.034857420035691866,0.0887792128562162,0.05716843691659558,43.500625,1.9296650719009796,1.4247794383779605e-05,3.683462617763832e-05,6.323031627275225e-05,8.99871165083037e-05,0.011164405991205446,0.010456225518853262,0.018357678186285174,D:\projects\vib\analysis\events\clean_clean_bgnd_016.npz
train_pass_017,train_pass,过车,service_desk,服务台,2026年04月06日 19点59分.m4a,g (7).xls,20:28:46,20:28:53,7.07,116.663,123.733,0.024979168920955225,0.04912793050515604,0.26041610659071057,0.21811250537594604,0.3883984375,4.457947156730074,0.0001480752112246835,0.00016482740924626251,0.0001567403893688453,0.00019872310843668006,0.02069177111585625,0.018276444271471865,0.0313707578899903,D:\projects\vib\analysis\events\clean_train_pass_017.npz
train_pass_018,train_pass,过车,service_desk,服务台,2026年04月06日 19点59分.m4a,g (8).xls,20:38:43,20:38:52,8.03,57.89,65.92,0.02077322519565437,0.048922217151519565,0.11229284589069198,0.06799999719035361,42.3354296875,5.019485430151698,3.8620632211359815e-05,7.296970156556706e-05,0.0001134585135467328,0.00018820039159653706,0.023810988504089046,0.018489895667890013,0.028066850631177434,D:\projects\vib\analysis\events\clean_train_pass_018.npz
clean_bgnd_019,clean_bgnd,干净本底,ground_floor,地面(正后方),2026年04月06日 20点57分.m4a,g (11).xls,21:05:25,21:05:55,30.102,10.662,40.765,0.014959479649311195,0.03520735630770024,0.10445735805489688,0.07258618131478883,37.674648437500004,1.7154332425836618,1.6585110981573793e-05,3.508745976423106e-05,6.592981176546431e-05,9.713265210493825e-05,0.01123935083432416,0.010356370631667626,0.019350621656990658,D:\projects\vib\analysis\events\clean_clean_bgnd_019.npz
clean_bgnd_020,clean_bgnd,干净本底,ground_floor,地面(正后方),2026年04月06日 20点57分.m4a,g (11).xls,21:07:58,21:08:10,11.594,163.761,175.355,0.01619733660814081,0.03800556228695734,0.0945544918663765,0.06017326077221154,40.781835937500006,2.3521550065704235,1.7224673651193913e-05,4.640738253731708e-05,7.312427362661669e-05,0.0001143741930271471,0.01126005568855815,0.01015798549486093,0.019591472777694532,D:\projects\vib\analysis\events\clean_clean_bgnd_020.npz
clean_bgnd_021,clean_bgnd,干净本底,ground_floor,地面(正后方),2026年04月06日 20点57分.m4a,g (11).xls,21:10:44,21:11:09,25.348,328.782,354.13,0.015785051491485354,0.037141439341316154,0.09889391996962267,0.06527370780854577,43.8890234375,1.7306634963387877,1.678114651636696e-05,4.093661123359413e-05,7.030336396948443e-05,0.00010802732633734059,0.01125441315720399,0.01005133432551082,0.01966930242762275,D:\projects\vib\analysis\events\clean_clean_bgnd_021.npz
clean_bgnd_022,clean_bgnd,干净本底,ground_floor,地面(正后方),2026年04月06日 20点57分.m4a,g (12).xls,21:18:20,21:18:50,30.726,308.657,339.382,0.015389469072891536,0.03684335512224686,0.08748535654298262,0.054010036405327345,31.848671875,1.5010835874380328,1.4982822938733566e-05,4.215178726963587e-05,6.58505749279714e-05,0.00010597779581842976,0.011216155863661913,0.009974594688865109,0.019290288061709637,D:\projects\vib\analysis\events\clean_clean_bgnd_022.npz
train_pass_023,train_pass,过车,ground_floor,地面(正后方),2026年04月06日 20点57分.m4a,g (12).xls,21:20:08,21:20:18,10.589,416.763,427.352,0.015436267649758225,0.03683733345662861,0.09355295066606807,0.06010581659990513,40.781835937500006,3.036291460385538,2.1427971434739483e-05,3.84567305863959e-05,7.092348893211449e-05,0.00010759763658184795,0.01141145671224532,0.009800146301954006,0.01911206410412775,D:\projects\vib\analysis\events\clean_train_pass_023.npz
clean_bgnd_024,clean_bgnd,干净本底,ground_floor,地面(正后方),2026年04月06日 20点57分.m4a,g (13).xls,21:20:55,21:21:08,13.016,20.056,33.073,0.01564101467587696,0.037103676504390615,0.09043691528406021,0.05679109132251233,38.83984375,2.2984618329176323,2.094763007296577e-05,4.0073550183080004e-05,5.853757306743948e-05,0.00011334491360220984,0.011219541935674173,0.01002708311808083,0.019489050847060256,D:\projects\vib\analysis\events\clean_clean_bgnd_024.npz
train_pass_025,train_pass,过车,ground_floor,地面(正后方),2026年04月06日 20点57分.m4a,g (13).xls,21:21:12,21:21:24,11.308,36.985,48.293,0.01628104282163536,0.03845376491998876,0.10409765008622858,0.06926060541877962,22.915507812500003,2.4719964771669916,1.8410193031887636e-05,4.115136319450768e-05,8.088381725360331e-05,0.00012160130572489736,0.011759026717662463,0.009741049071905046,0.019950923563492654,D:\projects\vib\analysis\events\clean_train_pass_025.npz
clean_bgnd_026,clean_bgnd,干净本底,ground_floor,地面(正后方),2026年04月06日 20点57分.m4a,g (13).xls,21:21:43,21:21:55,11.726,67.585,79.311,0.015922144395075017,0.03765317966879465,0.08814413033858125,0.05402306269653769,29.129882812500004,2.6877304913969797,2.4958743187494e-05,3.9112942144351515e-05,6.741122921790415e-05,0.0001136952737450733,0.011337289386046442,0.00968554570482552,0.019517647405422535,D:\projects\vib\analysis\events\clean_clean_bgnd_026.npz
